# MEAN_SAMPLE_SIZE = 55374
# TOTAL_GENES = 18246
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE            TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte            SET    1091     0.013943    0.0033062     0.029463      0.31802
DA-Neuron            SET    2040     0.055545     0.017504     0.021876    0.0055622
Endothelial          SET     266     0.037442    0.0044878     0.056161      0.25249
GABA-Neuron-1        SET    2550     0.039344     0.013642     0.020009     0.024639
GABA-Neuron-2        SET    1589      0.05202     0.014668     0.024806     0.018002
Glut-Neuron-1        SET    2595     0.063747     0.022266     0.019719   0.00061443
Glut-Neuron-2        SET    1867     0.061601      0.01867     0.022649    0.0032699
Glut-Neuron-3        SET     796      0.09741     0.019898     0.034203    0.0022028
Interneuron-1        SET    1419     0.066138     0.017713     0.026794    0.0067918
Microglia            SET     563     0.032963    0.0057003     0.039498        0.202
Mural                SET     189     -0.11853    -0.012001     0.069399      0.95617
OPC-Olig-1           SET     460     0.043292    0.0067868     0.044977       0.1679
OPC-Olig-2           SET      71     0.073344    0.0045664      0.10313      0.23848
Olig-1               SET     522   -0.0013441  -0.00022408     0.042149      0.51272
Olig-2               SET     728    -0.025943   -0.0050779     0.035497      0.76756
Polydendrocyte       SET     716     0.059797     0.011611     0.037851     0.057087
