# MEAN_SAMPLE_SIZE = 49291
# TOTAL_GENES = 18453
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE            TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte            SET    1092      0.11601     0.027374     0.032227    0.0001597
DA-Neuron            SET    2053      0.10696     0.033633     0.023672   3.1395e-06
Endothelial          SET     268    -0.016615   -0.0019878     0.061597      0.60632
GABA-Neuron-1        SET    2566     0.086543     0.029945     0.021382   2.6014e-05
GABA-Neuron-2        SET    1593     0.068841     0.019334     0.026486    0.0046766
Glut-Neuron-1        SET    2610     0.092998     0.032408     0.021033   4.9344e-06
Glut-Neuron-2        SET    1872     0.081914     0.024732     0.024512   0.00041719
Glut-Neuron-3        SET     799       0.1018     0.020721     0.036985    0.0029598
Interneuron-1        SET    1426     0.086734     0.023161     0.028456    0.0011536
Microglia            SET     564    -0.029099   -0.0050091     0.043104      0.75019
Mural                SET     190    -0.061854   -0.0062442     0.073484      0.80003
OPC-Olig-1           SET     460    -0.025796   -0.0040218     0.048503      0.70258
OPC-Olig-2           SET      72    -0.078789    -0.004912      0.11397      0.75531
Olig-1               SET     523     0.039253    0.0065141     0.044874      0.19087
Olig-2               SET     731     0.045878    0.0089488     0.037677      0.11169
Polydendrocyte       SET     717   -0.0033395  -0.00064537     0.041234      0.53227
