# MEAN_SAMPLE_SIZE = 51616
# TOTAL_GENES = 18439
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE            TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte            SET    1092    0.0045979    0.0010853     0.029757       0.4386
DA-Neuron            SET    2051     0.042216     0.013274     0.022342      0.02942
Endothelial          SET     268     -0.13902    -0.016639     0.058476      0.99128
GABA-Neuron-1        SET    2562     0.025504    0.0088219     0.020183      0.10319
GABA-Neuron-2        SET    1591     0.014718    0.0041326     0.025295      0.28034
Glut-Neuron-1        SET    2607     0.029831     0.010394     0.020102     0.068918
Glut-Neuron-2        SET    1870     0.018713    0.0056491     0.023027      0.20822
Glut-Neuron-3        SET     799     0.079991     0.016287     0.034781     0.010735
Interneuron-1        SET    1426     0.044367     0.011852      0.02666     0.048046
Microglia            SET     564     0.044599    0.0076799     0.040043       0.1327
Mural                SET     190    -0.065707   -0.0066356     0.069101      0.82916
OPC-Olig-1           SET     459    -0.020977   -0.0032682     0.045013      0.67939
OPC-Olig-2           SET      72     -0.06299   -0.0039285      0.10349      0.72861
Olig-1               SET     523      0.10082     0.016738     0.041661    0.0077658
Olig-2               SET     730     0.026886    0.0052428      0.03511      0.22191
Polydendrocyte       SET     716     0.049723    0.0096062     0.038369     0.097514
