# MEAN_SAMPLE_SIZE = 62858
# TOTAL_GENES = 18452
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE            TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte            SET    1092      0.02147    0.0050662     0.028523      0.22581
DA-Neuron            SET    2053     0.050509     0.015883     0.021176     0.008541
Endothelial          SET     268      0.05277    0.0063134     0.055226      0.16966
GABA-Neuron-1        SET    2566     0.035969     0.012446     0.018984     0.029076
GABA-Neuron-2        SET    1593     0.042297      0.01188     0.023457      0.03569
Glut-Neuron-1        SET    2610     0.033632      0.01172     0.018701     0.036065
Glut-Neuron-2        SET    1872     0.028903    0.0087269     0.021731     0.091755
Glut-Neuron-3        SET     799      0.10577     0.021529     0.032791   0.00062951
Interneuron-1        SET    1426     0.061757     0.016492     0.025175    0.0070861
Microglia            SET     564    -0.029067   -0.0050037      0.03837      0.77563
Mural                SET     190    -0.014643   -0.0014783     0.066691      0.58689
OPC-Olig-1           SET     460     0.036554    0.0056994     0.043078      0.19807
OPC-Olig-2           SET      72     0.020045    0.0012497      0.10574      0.42483
Olig-1               SET     523     0.051317    0.0085165     0.040162      0.10067
Olig-2               SET     731     0.037193    0.0072549      0.03368      0.13474
Polydendrocyte       SET     717     0.058517     0.011309     0.036515     0.054526
